0:0:0:0:0:0:0:1 - - [13/May/2021:15:27:50 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/May/2021:15:27:53 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:22 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:24 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:24 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:29 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:29 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:31 +0700] "GET /Web-Lab8/Homepage.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [13/May/2021:15:28:37 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/May/2021:15:29:05 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [13/May/2021:15:29:49 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [13/May/2021:15:30:14 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [13/May/2021:15:30:36 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [13/May/2021:15:30:37 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [13/May/2021:15:31:34 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [13/May/2021:15:31:36 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 804
